BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
0.39,51.98,116.75,16079,F0,7.04,         ,201.7945833,64.71944444,64 43    10,51.98116.75 13 27
0.23,63.49,110.49,28763,F0,6.34,         ,201.9979167,52.74583333,52 44    45,63.49110.49 13 27
0.92,74.4,95.99,44621,G8III,6.47,         ,202.1091667,40.72972222,40 43    47,74.495.99 13 28
1.11,60.09,322.16,139359,K0III,6.43,         ,202.3120833,-1.364444444, 1 21    52,60.09322.16 13 29
1.6,38.75,314.22,181695,M7IIIe,4.97,         ,202.4283333,-23.28138889,23 16    53,38.75314.22 13 29
1.05,71.42,333.33,100592,K0III,5.65,71    Vir,202.3041667,10.81833333,10 49     6,71.42333.33 13 29
0.48,-14.88,305.25,257060,F6V,6.48,         ,203.3116667,-77.56833333,77 34     6,-14.88305.25 13 33
0.37,65.36,108.68,28771,F0IV,6.43,         ,202.1904167,50.71833333,50 43     6,65.36108.68 13 28
0.18,-23.01,303.91,258674,Am,5.58,  Kap Oct,205.23125,-85.78611111,85 47    10,-23.01303.91 13 40
-0.01,56.57,114.52,16080,A1Vn,5.4,         ,202.1129167,59.94583333,59 56    45,56.57114.52 13 28
1.47,68.05,329.33,119962,K5,6.17,         ,202.5004167,7.178888889, 7 10    44,68.05329.33 13 30
0.96,66.98,328.11,119961,K0,6.51,         ,202.49,6.013333333, 6  0    48,66.98328.11 13 29
0.33,55.1,320.03,139370,F2V,6.09,72    Vir,202.6070833,-6.470277778, 6 28    13,55.1320.03 13 30
1.17,22.83,311.22,204545,G9Ib*,3.88,         ,202.76125,-39.4075,39 24    27,22.83311.22 13 31
0.1,33.93,313.6,181723,A1V,6.47,         ,202.88875,-28.11277778,28  6    46,33.93313.6 13 31
0.77,38.33,120.71,7821,G2.5IIIbCH1,5.77,         ,201.73625,78.64388889,78 38    38,38.33120.71 13 26
1.04,23.79,311.62,204561,K1III,6.16,         ,203.0220833,-38.39916667,38 23    57,23.79311.62 13 32
-0.02,-3.12,307.27,252361,A0V,6.37,         ,203.39875,-65.6325,65 37    57,-3.12307.27 13 33
0.18,43.1,316.15,157987,F0IV-V,6.01,73    Vir,203.0116667,-18.72888889,18 43    44,43.1316.15 13 32
1.62,55.21,320.78,139390,M2III,4.69,74    Vir,202.99125,-6.255833333, 6 15    21,55.21320.78 13 31
1.05,72.96,96.97,44637,K2III,6.08,         ,202.8158333,42.10611111,42  6    22,72.9696.97 13 31
0.04,33.31,313.74,181737,A1Vn,5.69,         ,203.1495833,-28.69277778,28 41    34,33.31313.74 13 32
0.44,32.46,313.54,181735,F3IV,6.45,         ,203.14375,-29.56527778,29 33    55,32.46313.54 13 32
1.23,46.34,317.47,157998,K1.5IIIb,5.55,75    Vir,203.2154167,-15.36305556,15 21    47,46.34317.47 13 32
0.96,51.37,319.44,139401,K0III,5.21,76    Vir,203.2420833,-10.165,10  9    54,51.37319.44 13 32
1.28,54.23,320.76,139403,M7IIIe,6.68,         ,203.2529167,-7.195, 7 11    42,54.23320.76 13 33
0.96,80.28,18.61,82875,G8III,6.11,         ,203.2004167,24.34638889,24 20    47,80.2818.61 13 32
-0.05,13.98,310.29,224254,B8III,6.33,         ,203.6204167,-48.27222222,48 16    20,13.98310.29 13 34
1.26,28.69,313.24,204612,K2III,6.44,         ,203.6816667,-33.31083333,33 18    39,28.69313.24 13 34
0.03,64.41,328.27,120004,A1pSrCrEu,4.94,78    Vir,203.5329167,3.658888889, 3 39    32,64.41328.27 13 34
0.02,48.32,318.87,158021,A2pSrEu:Cr:,5.91,         ,203.66875,-13.21444444,13 12    52,48.32318.87 13 34
0.11,60.39,325.25,139420,A3V,3.37,79Zet Vir,203.6733333,-0.595833333, 0 35    45,60.39325.25 13 34
0.21,75.29,88.07,63616,F0IV,6.37,         ,203.5908333,38.78916667,38 47    21,75.2988.07 13 34
-0.03,60.74,110.49,28803,A0V,5.6,81    UMa,203.5304167,55.34861111,55 20    55,60.74110.49 13 34
0.4,76.41,83.33,63623,F2IV,4.98,         ,203.6991667,37.1825,37 10    57,76.4183.33 13 34
0.95,55.77,322.71,139428,G6III,5.73,80    Vir,203.8804167,-5.396111111, 5 23    46,55.77322.71 13 35
0.12,66.59,104.99,44668,A5V,4.7,24    CVn,203.61375,49.01611111,49  0    58,66.59104.99 13 34
0.5,0.7,308.33,252387,F6V,5.63,         ,204.3008333,-61.69194444,61 41    31,0.7308.33 13 37
1.03,70.14,336.59,100630,K1III+F6V,6.49,         ,203.88875,10.20472222,10 12    17,70.14336.59 13 35
0.01,-13.09,305.94,257069,B8IV,6.34,         ,204.7995833,-75.68388889,75 41     2,-13.09305.94 13 39
0.2,70.79,98.48,44675,A7-F0III,6.84,         ,203.80875,44.19694444,44 11    49,70.7998.48 13 35
1.03,27.47,313.47,204653,K0III,6.5,         ,204.2104167,-34.46777778,34 28     4,27.47313.47 13 36
0.94,17.97,311.52,224275,G8-K0III,5.98,         ,204.275,-44.14333333,44  8    36,17.97311.52 13 37
1.42,-7.94,306.91,257070,K3III,6.1,         ,204.6904167,-70.445,70 26    42,-7.94306.91 13 38
0.22,35.28,315.38,181790,A7III,5.78,         ,204.2016667,-26.495,26 29    42,35.28315.38 13 36
-0.12,15.71,311.13,224283,B8V,5.9,         ,204.34875,-46.42833333,46 25    42,15.71311.13 13 37
1.12,3.9,309.03,241013,K1III,6.42,         ,204.5316667,-58.415,58 24    54,3.9309.03 13 38
1.55,79.45,21.68,82905,M2III,5.74,         ,204.24625,24.61333333,24 36    48,79.4521.68 13 36
1.14,4.67,309.26,241026,G5Ib,6.01,         ,204.7045833,-57.62305556,57 37    23,4.67309.26 13 38
1.3,-8.3,306.94,257074,K0III,6.59,         ,205.0025,-70.78833333,70 47    18,-8.3306.94 13 40
0.23,76.61,78.96,63648,A7III,4.82,25    CVn,204.365,36.295,36 17    42,76.6178.96 13 37
0.4,32.19,315.08,181825,F5V,5.83,         ,204.675,-29.56083333,29 33    39,32.19315.08 13 38
0.25,73.18,345.58,100644,A9V s,6.52,         ,204.5329167,14.30166667,14 18     6,73.18345.58 13 38
0.39,-2.2,308.14,252400,F3III-IV,5.79,         ,205.0454167,-64.57694444,64 34    37,-2.2308.14 13 40
-0.22,8.72,310.19,241047,B1III,2.3,  Eps Cen,204.9716667,-53.46638889,53 27    59,8.72310.19 13 39
1.55,64.82,105.56,28819,M2II-III+K3III:,6.48,         ,204.4291667,50.71472222,50 42    53,64.82105.56 13 37
1.5,12.17,310.89,224317,M5III,6,         ,204.99875,-49.95027778,49 57     1,12.17310.89 13 39
1.66,22.19,312.92,204708,M4III,6.27,         ,204.92,-39.74805556,39 44    53,22.19312.92 13 39
1.3,21.88,312.88,204712,K2/3III,5.6,         ,204.9525,-40.05194444,40  3     7,21.88312.88 13 39
1.2,75.91,356.46,100650,K3III,6.48,         ,204.7595833,18.26527778,18 15    55,75.91356.46 13 39
0.33,70.08,339.9,100654,F0V,5.57,         ,204.8941667,10.74611111,10 44    46,70.08339.9 13 39
1.2,45.42,117.72,7854,gK2,5.5,         ,204.2958333,71.24222222,71 14    32,45.42117.72 13 37
-0.03,3.44,309.46,241080,B9III,5.38,         ,205.5045833,-58.78722222,58 47    14,3.44309.46 13 42
-0.05,7.6,310.25,241076,B8Vn,5.01,         ,205.43625,-54.56,54 33    36,7.6310.25 13 41
0.1,62.7,107.04,28832,A3Vn,5.46,82    UMa,204.8766667,52.92138889,52 55    17,62.7107.04 13 39
0.96,78.65,55.83,63676,G5II:,6.21,         ,205.065,31.01194444,31  0    43,78.6555.83 13 40
0.01,76.64,3.08,82942,A1V,5.75, 1    Boo,205.16875,19.95555556,19 57    20,76.643.08 13 40
1.28,79.06,40.68,82944,K3III,6.23,         ,205.1629167,28.06527778,28  3    55,79.0640.68 13 40
0.06,38,317.55,181863,A0,6.59,         ,205.37875,-23.44972222,23 26    59,38.0317.55 13 41
1.44,28.11,314.8,204739,K0e-M4IIe,6.05,         ,205.4404167,-33.59694444,33 35    49,28.11314.8 13 41
0.54,64.82,104.46,28836,F7-9V,6.32,         ,205.0966667,50.51944444,50 31    10,64.82104.46 13 40
1.01,77.84,13.26,82946,G9III,5.62, 2    Boo,205.2595833,22.49583333,22 29    45,77.8413.26 13 41
1.63,52.16,323.42,139490,M1.5III,5.01,82    Vir,205.4033333,-8.703055556, 8 42    11,52.16323.42 13 41
-0.08,5.4,309.98,241096,B0.5III,6,         ,205.73375,-56.76805556,56 46     5,5.4309.98 13 42
1.67,11.25,311.19,241098,M0III,6.41,         ,205.7275,-50.79055556,50 47    26,11.25311.19 13 42
0.1,58.69,110.18,28838,A2VpSrCrEu,6.29,         ,205.08875,57.2075,57 12    27,58.69110.18 13 40
1.64,61.01,108.18,28843,M2IIIabBa0.5,4.66,83    UMa,205.1845833,54.68166667,54 40    54,61.01108.18 13 40
1.02,20.44,313.2,224359,K0III,5.98,         ,205.7291667,-41.40111111,41 24     4,20.44313.2 13 42
0.42,67.74,337.96,120075,F3Vp,6.16,         ,205.5529167,8.388333333, 8 23    18,67.74337.96 13 42
-0.08,19.76,313.2,224365,B8III,5.98,         ,205.9166667,-42.0675,42  4     3,19.76313.2 13 43
-0.13,10.99,311.35,241120,A0pSiCr,6.47,         ,206.06625,-51.01305556,51  0    47,10.99311.35 13 44
1.11,63.38,332.78,120082,K2III,5.36,84    Vir,205.7654167,3.538055556, 3 32    17,63.38332.78 13 43
0.86,72.09,90.49,44720,G6III,6.3,         ,205.62,41.67416667,41 40    27,72.0990.49 13 42
0.85,76.51,71.71,63701,G5III,5.98,         ,205.6808333,34.98888889,34 59    20,76.5171.71 13 42
0.07,51.47,114.42,16142,A2V,5.85,         ,205.3745833,64.8225,64 49    21,51.47114.42 13 41
0.05,54.99,326.12,139516,A1V,6.51,         ,205.97625,-5.498888889, 5 29    56,54.99326.12 13 43
1.42,77.35,15.32,82969,K4III,6.13,         ,205.9383333,22.70027778,22 42     1,77.3515.32 13 43
0.81,44.82,321.03,158131,G0Ib-IIa,5.6,83    Vir,206.1241667,-16.17916667,16 10    45,44.82321.03 13 44
1.38,35.83,317.81,181921,K0,6.21,         ,206.1904167,-25.50083333,25 30     3,35.83317.81 13 44
0.02,35.18,317.84,181931,A1Vn,5.81,         ,206.40375,-26.11611111,26  6    58,35.18317.84 13 45
0.38,28.46,315.86,204812,F3IV,4.23, 1    Cen,206.4216667,-33.04388889,33  2    38,28.46315.86 13 45
0,63.19,104.91,28866,A1V,6.02,         ,205.9779167,52.06444444,52  3    52,63.19104.91 13 43
0.05,45.14,321.56,158147,A2Vn,6.19,85    Vir,206.39625,-15.7675,15 46     3,45.14321.56 13 45
1.98,-0.41,309.3,252448,K00-Iae,6.51,         ,206.7945833,-62.59,62 35    24,-0.41309.3 13 47
0.96,10.5,311.63,241157,G8-K0III,4.65,         ,206.66375,-51.43277778,51 25    58,10.5311.63 13 46
0.9,48.29,323.16,158152,G8III,5.51,86    Vir,206.4845833,-12.42666667,12 25    36,48.29323.16 13 45
-0.02,25.29,315.28,204835,A0V,5.15,         ,206.735,-36.25194444,36 15     7,25.29315.28 13 46
0.29,11.63,312.02,241173,A3mA5F0,5.91,         ,206.865,-50.24944444,50 14    58,11.63312.02 13 47
1.36,11.55,312.04,241177,K2III,5.45,         ,206.91,-50.32111111,50 19    16,11.55312.04 13 47
0.47,59.66,107.97,28878,F7IV-V,6.5,         ,206.305,55.87944444,55 52    46,59.66107.97 13 45
1.42,50.76,324.99,139544,K5III,6.05,         ,206.80625,-9.709166667, 9 42    33,50.76324.99 13 47
0.21,72.06,87.52,44742,A5V,5.87,         ,206.55625,41.08861111,41  5    19,72.0687.52 13 46
0.94,73.84,81.11,63735,G9III,5.94,         ,206.5791667,38.50388889,38 30    14,73.8481.11 13 46
1.62,43.01,321.28,158165,M2IIIab,5.43,87    Vir,206.8558333,-17.86,17 51    36,43.01321.28 13 47
0.49,77.55,29.48,82993,G5III+A7V:,5.95, 3    Boo,206.6804167,25.70222222,25 42     8,77.5529.48 13 46
0.63,65.38,337.86,120108,G0-1IV-V,6.33,         ,206.7379167,6.350555556, 6 21     2,65.38337.86 13 46
1.01,38.73,119.56,7876,gG7,5.91,         ,205.66375,78.06444444,78  3    52,38.73119.56 13 42
0.48,73.88,358.95,100706,F6IV,4.5, 4Tau Boo,206.8154167,17.45666667,17 27    24,73.88358.95 13 47
1.03,73.71,80.9,63739,K0III+F8V,5.5,         ,206.7491667,38.54277778,38 32    34,73.7180.9 13 46
-0.08,60.89,106.38,28885,B9pEuCr,5.7,84    UMa,206.64875,54.43277778,54 25    58,60.89106.38 13 46
1.46,-20.06,305.09,258683,K2.5IIIaCH-3Ba0.5,5.95,         ,208.91125,-82.66611111,82 39    58,-20.06305.09 13 55
0.57,25.72,315.87,204867,G3IV-V,6.53,         ,207.2295833,-35.70388889,35 42    14,25.72315.87 13 48
-0.22,19.89,314.41,224469,B2IV,3.41,  Nu  Cen,207.37625,-41.68777778,41 41    16,19.89314.41 13 49
-0.19,65.32,100.69,44752,B3V,1.86,85Eta UMa,206.885,49.31333333,49 18    48,65.32100.69 13 47
1.5,26.91,316.32,204875,M4.5III,4.19, 2    Cen,207.36125,-34.45083333,34 27     3,26.91316.32 13 49
-0.17,19.12,314.24,224471,B2IV-Ve,3.04,  Mu  Cen,207.4041667,-42.47388889,42 28    26,19.12314.24 13 49
1.73,-7.15,308.23,252481,K5-M0III,5.75,         ,207.9475,-69.40138889,69 24     5,-7.15308.23 13 51
1.01,76.88,54.35,63760,K0III,5.62,         ,207.16125,31.19027778,31 11    25,76.8854.35 13 48
1.06,42.57,321.93,158186,K0.5III-IIIb,4.97,89    Vir,207.4679167,-18.13416667,18  8     3,42.57321.93 13 49
-0.03,32.06,318.07,181999,A0V,6.18,         ,207.5270833,-29.08138889,29  4    53,32.06318.07 13 50
0.99,21.58,315.03,204888,K1III,6.44,         ,207.5808333,-39.90111111,39 54     4,21.58315.03 13 50
1.52,72.4,355.81,100725,K5.5III,4.07, 5Ups Boo,207.3691667,15.79777778,15 47    52,72.4355.81 13 49
1.43,75.49,12.25,83015,K4III,4.91, 6    Boo,207.4283333,21.26416667,21 15    51,75.4912.25 13 49
0.51,40.84,321.42,158192,G5III-IV:+A5:,6.53,         ,207.64375,-19.89722222,19 53    50,40.84321.42 13 50
1.01,34.18,121.01,2266,G9III,5.98,         ,205.59625,82.7525,82 45     9,34.18121.01 13 42
0.9,64.21,338.54,120132,K0,6.01,         ,207.6029167,5.497222222, 5 29    50,64.21338.54 13 50
-0.16,14.73,313.53,224489,B2Vp,5.77,         ,207.9466667,-46.89916667,46 53    57,14.73313.53 13 51
-0.09,8.97,312.14,241239,B9V,5.25,         ,208.02,-52.81166667,52 48    42,8.97312.14 13 52
0.48,24.88,316.24,204911,F6IV-V,6.35,         ,207.9025,-36.43333333,36 26     0,24.88316.24 13 51
0.69,36.49,319.96,182026,G5V,6.45,         ,207.835,-24.39083333,24 23    27,36.49319.96 13 51
-0.13,28.19,317.28,204916,B5IIIp,4.56, 3    Cen,207.9566667,-32.99444444,32 59    40,28.19317.28 13 51
-0.04,28.19,317.28,204917,B8V,6.06, 3    Cen,207.95875,-32.99472222,32 59    41,28.19317.28 13 51
0.48,29.5,317.74,204922,F7V,6.12,         ,208.00375,-31.61944444,31 37    10,29.5317.74 13 52
0.96,54.27,111.06,16186,G3V,5.96,         ,207.4395833,61.48916667,61 29    21,54.27111.06 13 49
0.12,75.13,67.5,63779,A5IV,6.65,         ,207.76875,34.7725,34 46    21,75.1367.5 13 51
1.62,75.16,67.1,63781,M2III,5.87,         ,207.7883333,34.66444444,34 39    52,75.1667.1 13 51
0.09,56.94,108.83,28901,A3V,6.46,         ,207.6154167,58.53944444,58 32    22,56.94108.83 13 50
0.01,8.37,312.25,241262,B5III,5.89,         ,208.4295833,-53.37361111,53 22    25,8.37312.25 13 53
1.49,-5.52,308.92,252511,K2III,5.71,         ,208.70375,-67.6525,67 39     9,-5.52308.92 13 54
1.66,75.14,66.1,63793,K5III,4.74,         ,207.9479167,34.44416667,34 26    39,75.1466.1 13 51
0.04,69.32,349.54,100745,A1V,6.04,         ,208.0766667,12.16527778,12  9    55,69.32349.54 13 52
-0.14,29.14,317.93,204944,B4IV,4.73, 4    Cen,208.3020833,-31.92777778,31 55    40,29.14317.93 13 53
0.44,25.52,316.88,204955,F4V,5.54,         ,208.3866667,-35.66416667,35 39    51,25.52316.88 13 53
-0.07,14.42,313.84,224514,B2IIIe,6.1,         ,208.4870833,-47.12805556,47  7    41,14.42313.84 13 53
1.02,25.84,317.06,204963,K1IV-V,6.19,         ,208.4675,-35.31444444,35 18    52,25.84317.06 13 53
0.84,73.05,3.3,100751,G5III,5.7, 7    Boo,208.30375,17.93277778,17 55    58,73.053.3 13 53
1.58,51.21,112.77,16199,M3.5III,4.65,10    Dra,207.8579167,64.72333333,64 43    24,51.21112.77 13 51
1.17,47.86,114.79,16197,K2IV,6.4,         ,207.7466667,68.31527778,68 18    55,47.86114.79 13 50
1.13,32.3,319.27,182065,K2III,6.04,         ,208.5691667,-28.56972222,28 34    11,32.3319.27 13 54
0.2,76.28,42.88,83055,A7V,5.9,         ,208.2929167,28.64805556,28 38    53,76.2842.88 13 53
-0.08,9.49,312.77,241294,B9V,5.71,         ,208.8008333,-52.16111111,52  9    40,9.49312.77 13 55
-0.22,14.19,314.07,224538,B2.5IV,2.55,  Zet Cen,208.885,-47.28833333,47 17    18,14.19314.07 13 55
1.08,57.57,333.47,139613,K2III,5.15,90    Vir,208.6754167,-1.503055556, 1 30    11,57.57333.47 13 54
0.53,51.59,328.8,139618,F8V+G0,6.19,         ,208.7425,-8.058888889, 8  3    32,51.59328.8 13 54
0.07,7.54,312.44,241309,A1V,6.14,         ,209.0825,-54.13194444,54  7    55,7.54312.44 13 56
0.58,73.03,5.3,100766,G0IV,2.68, 8Eta Boo,208.67125,18.39777778,18 23    52,73.035.3 13 54
0.78,6.98,312.32,241315,G6IV-V,6,         ,209.1375,-54.70444444,54 42    16,6.98312.32 13 56
0.9,29.61,318.73,204994,G8III,6.51,         ,208.9354167,-31.285,31 17     6,29.61318.73 13 55
-0.05,61.01,103.76,28928,A0V,5.7,86    UMa,208.4625,53.72861111,53 43    43,61.01103.76 13 53
1.14,14.83,314.39,224555,K1III,5.83,         ,209.08125,-46.5925,46 35    33,14.83314.39 13 56
0.03,-16.19,306.44,257107,B9III,6.09,         ,210.1366667,-78.59,78 35    24,-16.19306.44 14  0
1.11,-1.75,310.19,252531,K1.5III,4.71,         ,209.4120833,-63.68666667,63 41    12,-1.75310.19 13 57
1.05,-3.82,309.74,252534,K0III,6.2,         ,209.63,-65.80055556,65 48     2,-3.82309.74 13 58
0.5,70.09,355.12,100776,F6V,6.16,         ,208.9583333,14.05638889,14  3    23,70.09355.12 13 55
0.2,59.61,336.53,120185,A8V,5.91,92    Vir,209.11625,1.050555556, 1  3     2,59.61336.53 13 56
0.37,75.11,56.03,63837,F4IV-V,6.32,         ,209.04375,32.0325,32  1    57,75.1156.03 13 56
1.43,37.37,322.14,182123,K0,6.14,         ,209.3654167,-23.02277778,23  1    22,37.37322.14 13 57
1.42,75.54,38.12,83084,K3III,5.01, 9    Boo,209.1425,27.49194444,27 29    31,75.5438.12 13 56
-0.21,19.07,315.98,224577,B2IV,3.83,  Phi Cen,209.5679167,-42.10083333,42  6     3,19.07315.98 13 58
-0.2,16.45,315.29,224585,B2IV-V,3.87,  Ups1Cen,209.67,-44.80361111,44 48    13,16.45315.29 13 58
-0.1,35.45,321.66,182134,B8VpShell,5.15,47    Hya,209.6295833,-24.97222222,24 58    20,35.45321.66 13 58
0.96,11.06,313.86,241352,G8-K0III,5.91,         ,209.8220833,-50.37,50 22    12,11.06313.86 13 59
0.33,0.3,311.06,252552,F1III-IV,6.49,         ,210.0720833,-61.48138889,61 28    53,0.3311.06 14  0
0.35,-4.33,309.85,252554,F2III,5.97,         ,210.2175,-66.26861111,66 16     7,-4.33309.85 14  0
1.44,69.98,357.75,100801,K5III,6,         ,209.66625,14.64944444,14 38    58,69.98357.75 13 58
-0.03,73.78,17.02,83103,A0V s,5.76,10    Boo,209.6620833,21.69611111,21 41    46,73.7817.02 13 58
0.48,35.31,322.04,182152,F7V,5.77,48    Hya,210.0004167,-25.01027778,25  0    37,35.31322.04 14  0
0.49,55.17,333.84,139666,F8V,6.4,         ,209.9554167,-3.549722222, 3 32    59,55.17333.84 13 59
1.25,20.72,317.12,205096,K1III,6.13,         ,210.3291667,-40.22222222,40 13    20,20.72317.12 14  1
0.6,15.53,315.6,224621,F6II,4.34,  Ups2Cen,210.4308333,-45.60361111,45 36    13,15.53315.6 14  1
1.55,-14.54,307.22,257112,M6.5III:,5.5,  The Aps,211.3325,-76.79666667,76 47    48,-14.54307.22 14  5
0.09,65.4,348.38,120228,A2V,5.99,         ,210.335,8.894722222, 8 53    41,65.4348.38 14  1
0.17,74.51,37.9,83130,A7III,6.23,11    Boo,210.29375,27.38666667,27 23    12,74.5137.9 14  1
0.1,59.38,339.22,120238,A3V,4.26,93Tau Vir,210.4116667,1.544444444, 1 32    40,59.38339.22 14  1
1.34,32.84,321.7,182182,K3III,5.48,         ,210.595,-27.43,27 25    48,32.84321.7 14  2
1.22,5.26,312.87,241403,K2III,5.92,         ,210.8591667,-56.21361111,56 12    49,5.26312.87 14  3
-0.23,1.25,311.77,252582,B1III,0.61,  Bet Cen,210.9558333,-60.37305556,60 22    23,1.25311.77 14  3
0.48,28.76,320.29,205123,F8V,6.18,         ,210.7570833,-31.68388889,31 41     2,28.76320.29 14  3
-0.11,19.45,317.16,224641,ApSi,6.11,         ,210.8645833,-41.42333333,41 25    24,19.45317.16 14  3
0.9,65.8,350.17,120251,F8IV,6.2,         ,210.6325,9.686388889, 9 41    11,65.8350.17 14  2
1.32,66.67,90.56,44858,K2III,6.27,         ,210.5508333,45.75361111,45 45    13,66.6790.56 14  2
0.45,37.45,324.15,182204,F5III,6.3,         ,210.97125,-22.42166667,22 25    18,37.45324.15 14  3
0.74,66.45,352.46,100832,G8V,6.3,         ,210.8845833,10.78666667,10 47    12,66.45352.46 14  3
0.94,64,347.39,120261,G9III,6.26,         ,210.9033333,7.546388889, 7 32    47,64.0347.39 14  3
0.39,61.85,343.99,120265,F4V,6.24,         ,210.9825,4.900833333, 4 54     3,61.85343.99 14  3
1.32,53.03,334.07,139711,K0,6.39,         ,211.0608333,-5.381388889, 5 22    53,53.03334.07 14  4
1.08,44.32,327.95,158325,G6III,6.28,         ,211.1125,-14.97166667,14 58    18,44.32327.95 14  4
0.23,6.65,313.63,241430,A5III-IV,6.17,         ,211.44375,-54.66944444,54 40    10,6.65313.63 14  5
0.58,-12.75,308,257116,G2-3IV,6.02,         ,212.1129167,-74.85027778,74 51     1,-12.75308.0 14  8
0.01,62.57,98.11,28989,A2V,6.15,         ,210.74875,50.97194444,50 58    19,62.5798.11 14  2
0.12,1.79,312.26,241439,B0Ia,6.42,         ,211.6045833,-59.71555556,59 42    56,1.79312.26 14  6
1.4,47.16,113.63,16254,K5,6.34,         ,210.4608333,68.67861111,68 40    43,47.16113.63 14  1
1.02,59.61,341.25,120269,K0,6.28,         ,211.15625,2.2975, 2 17    51,59.61341.25 14  4
0.1,42.99,327.46,158331,A4V,6.56,         ,211.3083333,-16.33583333,16 20     9,42.99327.46 14  5
-0.19,19.54,317.73,224673,B2V,4.36,  Chi Cen,211.5116667,-41.17972222,41 10    47,19.54317.73 14  6
0.98,17.71,317.15,224676,G8III,6.2,         ,211.5454167,-43.09194444,43  5    31,17.71317.15 14  6
1.12,33.25,323,182244,K2-III-IIIbFe-0.5,3.27,49Pi  Hya,211.5929167,-26.6825,26 40    57,33.25323.0 14  6
1.01,24.08,319.46,205188,K0-IIIb,2.06, 5The Cen,211.6708333,-36.37,36 22    12,24.08319.46 14  6
1.02,-1.62,311.46,252616,G8-K0III,6.4,         ,212.0595833,-63.20805556,63 12    29,-1.62311.46 14  8
0.34,49.24,332.12,139736,F2IV,5.46,95    Vir,211.6783333,-9.313333333, 9 18    48,49.24332.12 14  6
-0.05,50.96,110.52,16273,A0III,3.65,11Alp Dra,211.0970833,64.37583333,64 22    33,50.96110.52 14  4
0.05,2.12,312.7,241478,B5IV,6.34,         ,212.2345833,-59.27666667,59 16    36,2.12312.7 14  8
1.74,-8.46,309.55,257119,K4II,6.05,         ,212.62875,-70.30555556,70 18    20,-8.46309.55 14 10
-0.06,17.2,317.52,224721,B9V,6.17,         ,212.21625,-43.47111111,43 28    16,17.2317.52 14  8
0.18,-7.91,309.77,252636,A6IV,6.06,         ,212.7579167,-69.71972222,69 43    11,-7.91309.77 14 11
-0.06,9.51,315.12,241491,B9IV,6,         ,212.3958333,-51.50472222,51 30    17,9.51315.12 14  9
0.94,7.65,314.58,241496,G9-III,4.75,         ,212.4783333,-53.43916667,53 26    21,7.65314.58 14  9
1,48.08,332.2,158385,G8III,6.47,96    Vir,212.2525,-10.33444444,10 20     4,48.08332.2 14  9
1.59,67.26,85.26,44901,M4.5:III,5.27,         ,211.9825,43.85444444,43 51    16,67.2685.26 14  7
1.65,63.23,94.58,44905,M1.5III,5.25,13    Boo,212.0720833,49.45805556,49 27    29,63.2394.58 14  8
1.72,42.49,329.16,158401,M2IIIa,4.91,         ,212.7104167,-16.30194444,16 18     7,42.49329.16 14 10
1.02,55.14,105.75,29019,K0III,6.46,         ,212.1916667,59.33777778,59 20    16,55.14105.75 14  8
0.25,-18.73,306.43,258693,A2m,4.91,  Eta Aps,214.5575,-81.00777778,81  0    28,-18.73306.43 14 18
0.54,72.18,30.82,83203,F9IV w,4.83,12    Boo,212.5995833,25.09166667,25  5    30,72.1830.82 14 10
0.14,41.55,116.34,7953,A7V,6.45, 3    UMi,211.735,74.59361111,74 35    37,41.55116.34 14  6
1.42,-15.57,307.57,257131,K2IIp,6.47,         ,214.22875,-77.66388889,77 39    50,-15.57307.57 14 16
0.48,57.87,342.99,120334,F7V,6.43,         ,212.88,1.362222222, 1 21    44,57.87342.99 14 11
1.44,7.28,314.98,241543,K5III+B-A,5.56,         ,213.3183333,-53.66583333,53 39    57,7.28314.98 14 13
1.35,34.93,325.54,182343,K0,6.34,         ,213.1020833,-24.36416667,24 21    51,34.93325.54 14 12
1.26,71.95,54.36,63979,K4III,6.11,         ,212.8129167,32.29555556,32 17    44,71.9554.36 14 11
0.05,6.35,314.73,241552,B5Ve,6.11,         ,213.41625,-54.62583333,54 37    33,6.35314.73 14 13
1.16,32.21,324.34,182349,K3III,5.08,50    Hya,213.1916667,-27.26111111,27 15    40,32.21324.34 14 12
-0.12,58.61,344.43,120339,A0VpSi,5.01,         ,213.0658333,2.409444444, 2 24    34,58.61344.43 14 12
1.08,32.77,324.74,182354,K0III,6.24,         ,213.305,-26.61222222,26 36    44,32.77324.74 14 13
1.33,47.7,333.51,158427,K2.5IIIFe-0.5,4.19,98Kap Vir,213.2241667,-10.27361111,10 16    25,47.7333.51 14 12
-0.08,3.96,314.13,241563,B4Vne,5.07,         ,213.7375,-57.08583333,57  5     9,3.96314.13 14 14
0.47,55.74,341.52,139798,F7V w,5.91,         ,213.42,-0.845555556, 0 50    44,55.74341.52 14 13
0.93,18.4,319.14,224791,G8III,5.61,         ,213.6775,-41.8375,41 50    15,18.4319.14 14 14
1.57,7.33,315.33,241569,K3III,6.39,         ,213.8383333,-53.50972222,53 30    35,7.33315.33 14 15
-0.06,-5.1,311.26,252678,B1.5III,5.75,         ,214.1608333,-66.58777778,66 35    16,-5.1311.26 14 16
1.36,38.78,117.67,7958,K3III,4.82, 4    UMi,212.2120833,77.5475,77 32    51,38.78117.67 14  8
