BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
0.84,14.2,121.74,4130,K0IV,6.21,         ,7.729166667,77.01944444,77  1    10,14.2121.74  0 30
0.01,-2.79,120.29,21457,B9IIIn,5.94,         ,7.582916667,59.97722222,59 58    38,-2.79120.29  0 30
0.24,-32.89,117.42,74041,A7III,5.23,28    And,7.530416667,29.75166667,29 45     6,-32.89117.42  0 30
0.37,-76.75,99.58,147307,F2III,6.14,         ,7.46625,-14.86416667,14 51    51,-76.7599.58  0 29
1.34,-83.15,344.92,192567,K4III,6.57,         ,7.45375,-32.11666667,32  7     0,-83.15344.92  0 29
1.56,-66.27,109.57,128791,M0III,5.72,12    Cet,7.51,-3.957222222, 3 57    26,-66.27109.57  0 30
0.12,-84.19,66.87,166318,A5Vn,5.19,         ,7.594583333,-23.78777778,23 47    16,-84.1966.87  0 30
0.33,-75.53,318.97,215120,F2III,6.19,         ,7.615833333,-40.93944444,40 56    22,-75.53318.97  0 30
0.35,-68.52,312.52,215119,F2V,5.69,         ,7.60875,-48.215,48 12    54,-68.52312.52  0 30
-0.1,3.73,120.94,11243,B6V,6.18,13    Cas,7.855416667,66.51944444,66 31    10,3.73120.94  0 31
1.14,-29.1,118.16,53956,K1III,5.87,         ,7.856666667,33.58166667,33 34    54,-29.1118.16  0 31
-0.1,-8.24,120.05,21489,B8Vn,4.73,14Lam Cas,7.943333333,54.52222222,54 31    20,-8.24120.05  0 31
1.15,-9.92,119.91,21486,K2III,5.6,         ,7.921666667,52.83944444,52 50    22,-9.92119.91  0 31
0.02,-67.98,311.75,215131,A0V,4.77,  Lam1Phe,7.854166667,-48.80361111,48 48    13,-67.98311.75  0 31
-0.07,-54.02,306.78,248201,B9V,4.37,  Bet1Tuc,7.88625,-62.95805556,62 57    29,-54.02306.78  0 31
0.15,-54.01,306.78,248202,A2V+A7V,4.54,  Bet2Tuc,7.89,-62.96583333,62 57    57,-54.01306.78  0 31
-0.01,-19.24,119.29,36453,A1Vn,6.7,         ,8.111666667,43.49472222,43 29    41,-19.24119.29  0 32
-0.01,8.16,121.44,4142,A0Vn,6.42,         ,8.330416667,70.98166667,70 58    54,8.16121.44  0 33
0.14,0.14,120.84,11256,B1Ia,4.16,15Kap Cas,8.25,62.93166667,62 55    54,0.14120.84  0 33
1.08,-42.36,116.94,74084,K0III,5.38,52    Psc,8.147916667,20.29444444,20 17    40,-42.36116.94  0 32
0,-55.61,114.55,109262,B9.5V,5.67,51    Psc,8.099166667,6.955555556, 6 57    20,-55.61114.55  0 32
1,-34.41,117.96,74090,K0III,6.3,         ,8.204583333,28.28027778,28 16    49,-34.41117.96  0 32
1.04,-7.88,120.28,21512,K0III,5.93,         ,8.293333333,54.895,54 53    42,-7.88120.28  0 33
0.04,-53.97,306.54,248208,A0V,5.09,  Bet3Tuc,8.1825,-63.03111111,63  1    52,-53.97306.54  0 32
-0.08,3.93,121.25,11265,B9III,6.48,16    Cas,8.60375,66.75027778,66 45     1,3.93121.25  0 34
1.27,-85.4,0.01,166367,K2III,5.55,         ,8.42125,-29.55833333,29 33    30,-85.40.01  0 33
0.23,-45.79,305.01,255679,A7IV,6.13,  The Tuc,8.347083333,-71.26611111,71 15    58,-45.79305.01  0 33
0.47,-64.55,308.97,232091,F3IV-V,5.57,         ,8.615833333,-52.37305556,52 22    23,-64.55308.97  0 34
0.56,-66.15,112.89,128839,F8V,5.2,13    Cet,8.812083333,-3.592777778, 3 35    34,-66.15112.89  0 35
0.44,-63.1,114.12,128843,F5IV,5.93,14    Cet,8.886666667,-0.505555556, 0 30    20,-63.1114.12  0 35
-0.11,-8.64,120.67,21551,B7III,5.08,         ,9.034583333,54.16861111,54 10     7,-8.64120.67  0 36
0.52,-49.49,117.11,91990,F7V,6.41,         ,8.977916667,13.20666667,13 12    24,-49.49117.11  0 35
0.29,-2.49,121.08,11291,A4III,5.79,         ,9.11375,60.32611111,60 19    34,-2.49121.08  0 36
0.44,-68.9,310.27,215157,F6V,5.51,  Lam2Phe,8.92125,-48.00083333,48  0     3,-68.9310.27  0 35
1.01,-62.16,307.83,232099,K0IV,6.06,         ,8.889166667,-54.82194444,54 49    19,-62.16307.83  0 35
-0.09,-35.5,118.81,74136,B8IIIpHgMn:,6.5,         ,9.083333333,27.25472222,27 15    17,-35.5118.81  0 36
1.06,-77.33,105.75,147360,G9III,6.45,         ,9.0125,-14.97361111,14 58    25,-77.33105.75  0 36
0.29,-84.48,83.1,166400,A6pSr,6.06,         ,9.02875,-22.8425,22 50    33,-84.4883.1  0 36
1.6,-18.31,120.18,36509,K5-M0III,5.13,         ,9.194166667,44.48861111,44 29    19,-18.31120.18  0 36
-0.2,-8.91,120.78,21566,B2IV,3.66,17Zet Cas,9.242916667,53.89694444,53 53    49,-8.91120.78  0 36
-0.14,-29.05,119.47,54033,B5V,4.36,29Pi  And,9.220416667,33.71944444,33 43    10,-29.05119.47  0 36
-0.15,-47.49,117.7,91995,B2.5IV,5.89,53    Psc,9.197083333,15.23166667,15 13    54,-47.49117.7  0 36
